HR,NcR,TolR,TR,Bench3_1,Bench3_2,Bench3_3,Bench3_4,Bench3_5,Bench3_6,Bench3_7,Bench3_8
0.0544050083819523,1,8.97675804615057e-07,3.835935567254,0.0008637925,0.0012987925,0.0009927925,0.0009517925,0.882990328891063,0.014609093566552,0.759759062751154,0.0145259024673838
0.0911330441277613,2,5.85985417779214e-07,17.1918281393131,0.0021947925,0.0033437925,0.0025687925,0.0024527925,18.167576735556,0.310586989170134,5.79389636687975,0.310588013221696
0.00392010007553786,4,3.05669282288028e-07,9.19859413567905,0.0266907925,0.0450307925,0.0309367925,0.0311677925,0.750889497810138,0.00111863034715064,0.732152812904548,0.00111863034714721
0.0405168349671368,3,5.8586214840005e-07,11.2542338301941,0.0033457925,0.0053897925,0.0039527925,0.0037257925,4.07830427015996,0.047821711143257,2.92582195783242,0.0478217107274217
0.0216774711536348,3,9.50051536399807e-07,8.5301888441805,0.0044207925,0.0072987925,0.0051257925,0.0053257925,1.81451766402829,0.0120433914985943,1.58135631948718,0.0120433914977901
0.0150878767102841,2,4.6415718372508e-07,5.79243168388844,0.0043817925,0.0070297925,0.0050237925,0.0050367925,0.746340037453655,0.00424908849445108,0.701895380156877,0.00424908791167959
0.0264611974715148,3,3.36271734244733e-07,16.4540723289961,0.0068117925,0.0115147925,0.0081747925,0.0082047925,5.88445354377925,0.0437217157516879,4.24691732808148,0.0437217157558292
0.0457514942903691,4,4.85162376852897e-07,11.1788717867566,0.0026547925,0.0045587925,0.0031297925,0.0030857925,4.36357191558592,0.057403640751291,3.01119616868448,0.0574036407525537
0.0519523113326202,1,5.54997034847858e-08,2.04592523249854,0.000445245833333333,0.0007073825,0.0005703825,0.0005313825,0.349683239399146,0.00528108073613316,0.329972787380078,0.0050604260355336
0.069153588883219,4,4.13503615002057e-07,11.8743186179316,0.0020117925,0.0033347925,0.0023297925,0.0022377925,6.75009800326202,0.115426243858918,3.66531829228343,0.115426243833031
0.054668085728524,4,9.66884249036453e-08,7.22631842835354,0.0015757925,0.0027057925,0.0018807925,0.0018487925,2.33275473636969,0.0399997130128503,1.74798181839935,0.0399997130109516
0.0868820488761701,3,8.62539043324177e-07,10.4329296361217,0.0013157925,0.0022237925,0.0015817925,0.0014077925,6.29405110404013,0.139315130089255,3.23987305207766,0.139315166340904
0.0286641396159259,2,8.60737580383967e-07,16.1750735889724,0.0064977925,0.0100537925,0.0073847925,0.0072407925,6.05968215496149,0.0480240438653818,4.28502467572475,0.0480241023790022
0.110240783312966,4,1.92689450419347e-07,7.71631616004,0.0007818825,0.0013557925,0.0011218825,0.0009697925,4.09606950417424,0.130196215768551,2.29789233969345,0.130196216412919
0.00722271636381137,1,6.02362930698165e-07,16.5365624147168,0.0259307925,0.0398067925,0.0415437925,0.0314067925,2.72045496986927,0.00630678902499744,2.48827926693629,0.00630702491262901
0.0850956750606659,2,8.34662338302779e-07,11.9737618526688,0.0017377925,0.0027597925,0.0020227925,0.0019927925,8.12714432574147,0.161863816055137,3.83143982042393,0.161855716752002
0.0544392534116443,4,7.25841704620057e-08,2.2531398855449,0.0004799125,0.0008048825,0.0005623825,0.0005448825,0.387304766472448,0.00655748763214913,0.3569007220063,0.00655748763215058
0.0715600964133527,2,6.52268916840468e-07,16.8709957399002,0.0026727925,0.0044957925,0.0032527925,0.0031107925,13.4016449156561,0.209310857933687,5.51776590228016,0.209307087524664
0.0209062308455166,2,2.49262978074158e-07,13.0543506802708,0.0074937925,0.0117857925,0.0090587925,0.0085497925,3.47990595168609,0.0216506479994475,2.839776902232,0.0216506616321753
0.027895102193872,1,2.74074614448084e-07,17.9571656072237,0.0075087925,0.0115257925,0.0085607925,0.0085687925,7.09449768146817,0.0539115355277109,4.87229921477051,0.0538229911938121
0.100871412613053,1,1.16782239403311e-07,4.75744813352526,0.0005508825,0.0008578825,0.0006438825,0.0006308825,1.72618757257594,0.0601691362560775,1.27476475713184,0.0568973801871482
0.121156675184771,3,3.76390160165097e-07,4.19417199406204,0.000405579166666667,0.0006613825,0.0004749125,0.000465579166666667,1.47318246518367,0.0643374565383313,1.04728763604565,0.0643375400249487
0.0418599590739708,1,2.49132660216066e-07,16.9215274085946,0.0050197925,0.0074887925,0.0059007925,0.0056357925,8.28318612778218,0.0946425060184756,4.93250617742725,0.0944563915797665
0.087742191741206,2,6.51136547856355e-07,13.1490905838384,0.0017907925,0.0027807925,0.0021457925,0.0021287925,10.4842815080344,0.187661017676193,4.42048331705789,0.187659648114428
0.110031498910848,2,7.3009910102415e-07,3.056002763553,0.000348245833333333,0.0005113825,0.0003809125,0.000380245833333333,0.774346147880481,0.0374242969565966,0.669859746886506,0.0374410351676486
0.112237525658669,1,1.04203370425753e-07,14.0874088416395,0.0013457925,0.0021267925,0.0015957925,0.0015357925,14.9158792932815,0.325319031700577,4.76436755916565,0.317471872026967
0.014204572470559,3,5.71951619247692e-07,14.0620190153799,0.0122787925,0.0197267925,0.0137177925,0.0133287925,2.95261661150388,0.014214041147159,2.55717476932605,0.0142140411469394
0.00863554015710685,1,3.52564368563292e-08,16.7683925687437,0.0230017925,0.0365797925,0.0294167925,0.0268627925,3.00519839305732,0.00858204067326168,2.70065669219194,0.00858348336532814
0.024471652369147,3,3.36624846331334e-07,13.3843961380555,0.0067987925,0.0100597925,0.0072937925,0.0074017925,3.95331606301218,0.0286793502527058,3.09617792820907,0.0286793502564196
0.110243818774655,3,3.78366449362899e-07,3.98833539155464,0.000439579166666667,0.0007118825,0.0005158825,0.0005098825,1.3916257425481,0.0494240663419585,1.01010698516571,0.0494241415973593
